,Datetime,Adj Close,Close,High,Low,Open,Volume
22035,2024-10-21 14:45:00+00:00,5845.10986328125,5845.10986328125,5849.4599609375,5845.0400390625,5849.4599609375,6059607.0
22036,2024-10-21 14:46:00+00:00,5844.35009765625,5844.35009765625,5844.5,5840.52978515625,5843.52978515625,7112973.0
22037,2024-10-21 14:47:00+00:00,5846.18017578125,5846.18017578125,5846.35009765625,5844.490234375,5844.490234375,4118202.0
22038,2024-10-21 14:48:00+00:00,5845.990234375,5845.990234375,5846.64990234375,5845.75,5846.10986328125,3880093.0
22039,2024-10-21 14:49:00+00:00,5844.06982421875,5844.06982421875,5845.8798828125,5843.2998046875,5845.8798828125,4077487.0
22040,2024-10-21 14:50:00+00:00,5842.9599609375,5842.9599609375,5845.83984375,5842.85986328125,5844.35009765625,4333788.0
22041,2024-10-21 14:51:00+00:00,5845.14013671875,5845.14013671875,5845.14013671875,5842.81005859375,5843.06982421875,3288871.0
22042,2024-10-21 14:52:00+00:00,5845.77978515625,5845.77978515625,5847.0400390625,5845.169921875,5845.169921875,4507700.0
22043,2024-10-21 14:53:00+00:00,5846.2099609375,5846.2099609375,5846.2099609375,5845.33984375,5845.7001953125,4203485.0
22044,2024-10-21 14:54:00+00:00,5844.31982421875,5844.31982421875,5846.39013671875,5843.97998046875,5846.240234375,4105721.0
22045,2024-10-21 14:55:00+00:00,5845.02978515625,5845.02978515625,5845.31982421875,5844.43994140625,5844.43994140625,3282652.0
22046,2024-10-21 14:56:00+00:00,5845.1201171875,5845.1201171875,5845.1298828125,5843.56005859375,5844.97021484375,3886220.0
22047,2024-10-21 14:57:00+00:00,5844.31005859375,5844.31005859375,5845.06982421875,5843.27978515625,5845.06982421875,3723989.0
22048,2024-10-21 14:58:00+00:00,5844.31005859375,5844.31005859375,5845.39013671875,5844.31005859375,5844.52978515625,3585217.0
22049,2024-10-21 14:59:00+00:00,5844.22998046875,5844.22998046875,5844.83984375,5844.16015625,5844.39013671875,4079582.0
22050,2024-10-21 15:00:00+00:00,5843.81005859375,5843.81005859375,5844.72021484375,5843.5,5844.169921875,3834346.0
22051,2024-10-21 15:01:00+00:00,5841.8701171875,5841.8701171875,5843.8798828125,5841.8701171875,5843.77978515625,5084919.0
22052,2024-10-21 15:02:00+00:00,5838.64990234375,5838.64990234375,5842.14013671875,5836.56005859375,5842.14013671875,7674783.0
22053,2024-10-21 15:03:00+00:00,5837.7001953125,5837.7001953125,5838.81005859375,5837.60009765625,5838.58984375,6132028.0
22054,2024-10-21 15:04:00+00:00,5837.10986328125,5837.10986328125,5838.77001953125,5837.0498046875,5837.68017578125,4023038.0
22055,2024-10-21 15:05:00+00:00,5834.080078125,5834.080078125,5837.240234375,5833.759765625,5837.10986328125,5508714.0
22056,2024-10-21 15:06:00+00:00,5834.22021484375,5834.22021484375,5834.33984375,5833.1201171875,5834.1298828125,4203820.0
22057,2024-10-21 15:07:00+00:00,5831.06005859375,5831.06005859375,5833.990234375,5830.35009765625,5833.990234375,5552275.0
22058,2024-10-21 15:08:00+00:00,5827.9599609375,5827.9599609375,5831.56982421875,5826.81005859375,5831.1201171875,6776842.0
22059,2024-10-21 15:09:00+00:00,5827.43994140625,5827.43994140625,5829.06005859375,5827.43994140625,5827.8798828125,4570299.0
22060,2024-10-21 15:10:00+00:00,5829.33984375,5829.33984375,5829.33984375,5827.27978515625,5827.56982421875,4644401.0
22061,2024-10-21 15:11:00+00:00,5829.02978515625,5829.02978515625,5829.669921875,5828.22021484375,5829.27978515625,3712681.0
22062,2024-10-21 15:12:00+00:00,5831.330078125,5831.330078125,5832.259765625,5829.10986328125,5829.1201171875,4944658.0
22063,2024-10-21 15:13:00+00:00,5834.22021484375,5834.22021484375,5834.419921875,5831.009765625,5831.2998046875,3970009.0
22064,2024-10-21 15:14:00+00:00,5833.27978515625,5833.27978515625,5834.419921875,5833.25,5834.35986328125,3903154.0
22065,2024-10-21 15:15:00+00:00,5831.31005859375,5831.31005859375,5833.47021484375,5831.2099609375,5833.18994140625,6060924.0
22066,2024-10-21 15:16:00+00:00,5830.35986328125,5830.35986328125,5831.18994140625,5830.35986328125,5831.10009765625,3506425.0
22067,2024-10-21 15:17:00+00:00,5830.14990234375,5830.14990234375,5830.4599609375,5829.93994140625,5830.27001953125,3924689.0
22068,2024-10-21 15:18:00+00:00,5830.1298828125,5830.1298828125,5831.2998046875,5829.93017578125,5830.0400390625,4105996.0
22069,2024-10-21 15:19:00+00:00,5831.18017578125,5831.18017578125,5831.18994140625,5829.97998046875,5830.14013671875,3603558.0
22070,2024-10-21 15:20:00+00:00,5830.85009765625,5830.85009765625,5831.330078125,5830.35009765625,5831.10009765625,3286992.0
22071,2024-10-21 15:21:00+00:00,5829.52978515625,5829.52978515625,5830.81982421875,5829.52978515625,5830.81982421875,3224455.0
22072,2024-10-21 15:22:00+00:00,5828.56005859375,5828.56005859375,5829.47021484375,5828.2900390625,5829.47021484375,3766009.0
22073,2024-10-21 15:23:00+00:00,5828.75,5828.75,5829.33984375,5828.06982421875,5828.58984375,3203568.0
22074,2024-10-21 15:24:00+00:00,5828.0498046875,5828.0498046875,5829.08984375,5827.6201171875,5828.740234375,3586778.0
22075,2024-10-21 15:25:00+00:00,5827.33984375,5827.33984375,5828.759765625,5827.33984375,5828.02001953125,3615865.0
22076,2024-10-21 15:26:00+00:00,5827.06982421875,5827.06982421875,5827.39013671875,5826.8798828125,5827.3701171875,3327979.0
22077,2024-10-21 15:27:00+00:00,5827.97998046875,5827.97998046875,5828.06982421875,5825.60986328125,5827.0400390625,4431262.0
22078,2024-10-21 15:28:00+00:00,5826.5,5826.5,5828.25,5826.43994140625,5828.0400390625,4068275.0
22079,2024-10-21 15:29:00+00:00,5826.47021484375,5826.47021484375,5826.56005859375,5825.759765625,5826.5,4320256.0
22080,2024-10-21 15:30:00+00:00,5824.93994140625,5824.93994140625,5826.43017578125,5824.93994140625,5826.43017578125,3153535.0
22081,2024-10-21 15:31:00+00:00,5826.5400390625,5826.5400390625,5826.5400390625,5824.7900390625,5824.91015625,3038900.0
22082,2024-10-21 15:32:00+00:00,5827.31005859375,5827.31005859375,5827.830078125,5825.97021484375,5826.66015625,4666610.0
22083,2024-10-21 15:33:00+00:00,5827.009765625,5827.009765625,5827.2900390625,5826.7099609375,5827.259765625,3193287.0
22084,2024-10-21 15:34:00+00:00,5828.43994140625,5828.43994140625,5828.43994140625,5827.06982421875,5827.2001953125,3579944.0
22085,2024-10-21 15:35:00+00:00,5827.27978515625,5827.27978515625,5828.72021484375,5827.14013671875,5828.39013671875,3021999.0
22086,2024-10-21 15:36:00+00:00,5827.009765625,5827.009765625,5827.60009765625,5826.68994140625,5827.33984375,2871055.0
22087,2024-10-21 15:37:00+00:00,5826.22021484375,5826.22021484375,5827.06982421875,5826.22021484375,5827.0,2799946.0
22088,2024-10-21 15:38:00+00:00,5827.60009765625,5827.60009765625,5827.60009765625,5825.93994140625,5826.14990234375,2743023.0
